cpu,mem,time,io,net,lost
46,90,4442,311,3.370672,1
10,90,4448,310,3.248056,1
37,90,4454,309,2.729832,1
35,90,4460,308,2.912296,1
46,89,4466,308,5.170928,1
26,89,4472,307,4.563136,1
28,90,4478,306,5.195848,1
58,91,4484,305,3.490904,1
29,91,4490,305,3.800376,1
24,91,4496,304,2.881696,0
73,91,4502,303,3.04332,1
33,91,4508,302,3.5074,1
28,91,4514,302,1.305936,1
29,91,4520,301,1.580368,1
5,91,4525,300,1.227104,1
78,91,4532,300,2.104424,1
47,91,4537,299,2.14384,1
57,93,4543,298,1.870416,0
26,91,4549,298,1.443664,1
37,91,4554,297,1.130488,0
51,91,4560,296,2.022616,0
58,91,4565,296,1.740824,0
37,91,4570,295,2.023344,0
54,91,4577,294,1.636424,0
5,91,4582,294,1.603008,0
26,90,4588,293,2.391264,0
31,90,4594,292,2.030648,0
39,90,4600,292,1.218784,0
12,91,4606,291,1.708248,0
57,90,4612,290,1.29052,0
4,90,4618,290,2.109848,0
30,90,4624,289,1.10568,0
45,90,4647,287,4.067296,1
33,90,4653,286,5.023824,1
39,89,4659,285,5.938272,1
32,87,4665,285,3.892488,1
25,87,4671,284,4.122384,1
31,87,4677,284,3.497936,1
13,87,4683,283,3.537896,0
35,87,4688,282,3.250456,1
20,87,4694,282,3.779416,1
44,87,4700,281,2.376216,1
30,86,4706,280,2.540736,1
14,86,4712,280,3.466888,1
11,86,4717,279,2.760376,0
6,86,4723,279,1.72324,0
4,86,4727,278,3.250784,0
22,86,4733,278,2.5846,1
41,86,4739,277,2.81772,0
27,85,4744,277,3.459608,0
21,85,4750,276,2.544168,0
20,85,4756,276,2.463384,0
24,85,4762,275,2.536784,0
18,85,4768,274,2.697376,0
46,84,4774,274,2.375712,0
30,85,4780,273,2.464488,0
22,84,4786,273,3.105344,0
21,85,4792,272,2.72616,0
23,85,4819,270,1.842584,1
9,85,4825,269,0.884792,1
3,85,4829,269,0.993192,1
5,85,4835,268,1.81152,1
6,85,4840,268,1.21772,1
1,85,4845,267,0.956736,1
5,85,4850,267,1.120792,1
4,85,4856,266,1.525544,1
